,Date,Type,Distance_km,Hours,Minutes,Seconds,Time_h,Calories,ElevGain_m,AvgSpeed_km/h,Year,Month
0,7/14/2015,Walking,2.1,0,26,40,0.444444444,89,28,4.725,2015,7
1,7/20/2015,Cycling,21.18,1,8,13,1.136944444,332,270,18.62887857,2015,7
2,7/25/2015,Cycling,23.52,1,9,32,1.158888889,390,327,20.29530201,2015,7
3,7/27/2015,Running,6.94,0,42,4,0.701111111,389,97,9.898573693,2015,7
4,7/29/2015,Walking,1.73,0,20,36,0.343333333,69,32,5.038834951,2015,7
5,8/8/2015,Cycling,24.01,1,6,27,1.1075,410,301,21.67945824,2015,8
6,8/9/2015,Cycling,12.87,0,39,14,0.653888889,208,163,19.68224299,2015,8
7,8/11/2015,Cycling,29.07,1,40,15,1.670833333,443,375,17.39850374,2015,8
8,8/15/2015,Cycling,30.64,1,57,57,1.965833333,453,453,15.58626537,2015,8
9,8/17/2015,Cycling,22.47,1,5,0,1.083333333,374,146,20.74153846,2015,8
10,8/31/2015,Walking,3.27,0,47,17,0.788055556,158,112,4.149453648,2015,8
11,9/28/2015,Running,9.2,1,1,41,1.028055556,535,,8.948932721,2015,9
12,4/25/2016,Cycling,32.15,1,35,43,1.595277778,544,695,20.15323002,2016,4
13,4/30/2016,Cycling,38.01,1,53,34,1.892777778,642,711,20.08159671,2016,4
14,5/23/2016,Cycling,3.39,0,45,44,0.762222222,77,43,4.447521866,2016,5
15,5/25/2016,Walking,1.91,0,23,47,0.396388889,82,5,4.81850035,2016,5
16,5/30/2016,Walking,1.34,0,21,17,0.354722222,74,,3.777603759,2016,5
17,5/31/2016,Walking,0.86,0,11,7,0.185277778,38,44,4.64167916,2016,5
18,6/1/2016,Walking,5.24,1,5,9,1.085833333,226,76,4.825786646,2016,6
19,6/11/2016,Cycling,14.1,0,54,23,0.906388889,216,,15.55623659,2016,6
20,6/13/2016,Cycling,22.1,1,10,3,1.1675,361,,18.92933619,2016,6
21,6/18/2016,Cycling,23.02,1,20,3,1.334166667,363,377,17.25421611,2016,6
22,6/20/2016,Cycling,24.92,1,21,14,1.353888889,402,409,18.40623718,2016,6
23,6/24/2016,Cycling,28,1,42,8,1.702222222,435,,16.44908616,2016,6
24,6/27/2016,Cycling,45.9,2,33,31,2.558611111,734,,17.93942026,2016,6
25,7/1/2016,Cycling,26.4,1,16,21,1.2725,455,337,20.74656189,2016,7
26,7/2/2016,Cycling,34.12,1,36,48,1.613333333,596,535,21.14876033,2016,7
27,7/5/2016,Running,7.34,0,47,12,0.786666667,436,146,9.330508475,2016,7
28,7/8/2016,Cycling,38.14,1,59,49,1.996944444,628,615,19.0991793,2016,7
29,7/29/2016,Running,8.79,0,55,23,0.923055556,518,187,9.522720433,2016,7
30,8/11/2016,Cycling,26.43,1,20,11,1.336388889,1223,,19.7771773,2016,8
31,8/16/2016,Running,8.56,0,57,37,0.960277778,518,275,8.914087359,2016,8
32,9/1/2016,Running,5.4,0,32,10,0.536111111,313,,10.07253886,2016,9
33,9/5/2016,Cycling,34.7,1,35,14,1.587222222,1692,,21.8620931,2016,9
34,9/10/2016,Cycling,28.25,1,24,34,1.409444444,1316,,20.0433583,2016,9
35,9/12/2016,Cycling,30.04,1,43,3,1.7175,1316,,17.49053857,2016,9
36,9/2/2017,Walking,4.71,0,57,33,0.959166667,199,53,4.910512598,2017,9
37,9/3/2017,Walking,4.63,0,55,44,0.928888889,193,59,4.984449761,2017,9
38,9/5/2017,Walking,5.28,1,7,56,1.132222222,235,67,4.663395486,2017,9
39,9/7/2017,Walking,7.42,1,29,10,1.486111111,309,139,4.992897196,2017,9
40,9/10/2017,Walking,4.64,0,57,31,0.958611111,199,53,4.840336134,2017,9
41,9/23/2017,Running,4.59,0,25,30,0.425,88,48,10.8,2017,9
42,9/30/2017,Walking,3.18,0,39,19,0.655277778,136,53,4.852903773,2017,9
43,10/2/2017,Running,4.58,0,27,1,0.450277778,265,50,10.17149907,2017,10
44,10/5/2017,Running,6.35,0,36,17,0.604722222,364,76,10.50068902,2017,10
45,10/8/2017,Running,6.43,0,38,13,0.636944444,372,76,10.09507196,2017,10
46,10/9/2017,Running,6.37,0,37,5,0.618055556,367,77,10.30651685,2017,10
47,10/14/2017,Running,4.6,0,24,23,0.406388889,260,,11.31920711,2017,10
